nom_etab;Appellation officielle;type_es;Adresse;cp;Commune;prix_moyen_m2_appartement;prix_moyen_m2_maison;id_quartier;Quartier;prix_quartier_m2_appart;id_quartier_details;Quartier_detail;prix_Quartier_detail_m2_appart;id_pole;Nom du pôle;Longitude_Latitude
BEAUJOIRE M/E;Ecole élémentaire La Beaujoire;M/E;10 avenue DE LA GARE DE ST JOSEPH;44300;Nantes;3223;3146;9;Nantes Erdre;3267;9a;La beaujoire;3155;4;Erdre et Loire;[-1.52399048290748,47.2526223516613]
LINOT M/E;Ecole élémentaire Le Linot;M/E;45 rue du Port des Charrettes;44300;Nantes;3476;3247;9;Nantes Erdre;3267;9a;La beaujoire;3155;4;Erdre et Loire;[-1.52751950234751,47.2680908315748]
LOUIS PERGAUD M/E;Ecole élémentaire Louis Pergaud;M/E;6 rue Louis Pergaud;44300;Nantes;2983;3087;9;Nantes Erdre;3267;9a;La beaujoire;3155;4;Erdre et Loire;[-1.51938953830352,47.2686742010514]
MAISON NEUVE M/E;Ecole primaire Maison Neuve;M/E;7 rue Eugénie Cotton;44300;Nantes;2860;3038;9;Nantes Erdre;3267;9a;La beaujoire;3155;4;Erdre et Loire;[-1.51626984087377,47.2591951348911]
JULIEN GRACQ M/E;Ecole primaire Julien Gracq;M/E;N° 3 mail Haroun Tazieff;44300;Nantes;3160;3156;10;Doulon - Bottière;3025;10a;La Bottière;2969;4;Erdre et Loire;[-1.51405000518019,47.2405247331311]
URBAIN LE VERRIER M/E;Ecole élémentaire Urbain le Verrier;M/E;11 rue Urbain Le Verrier;44300;Nantes;2974;3452;10;Doulon - Bottière;3025;10a;La Bottière;2969;4;Erdre et Loire;[-1.52092050221921,47.2418447127133]
BOTTIERE M/E;Ecole élémentaire La Bottière;M/E;10  RUE DE LA BOTTIERE;44300;Nantes;2773;3455;10;Doulon - Bottière;3025;10a;La Bottière;2969;4;Erdre et Loire;[-1.52250944837017,47.2373154575639]
ANGE GUEPIN E;Ecole élémentaire Ange Guépin école ouverte;E;4 rue de la Révolution des Oeillets;44000;Nantes;3536;4405;5;Malakoff - Saint-Donatien;3536;5b;Malakoff;3536;9;Nantes-Loire;[-1.51953169850457,47.2177214093618]
HENRI BERGSON M/E;Ecole élémentaire Henri Bergson;M/E;5 rue de Madrid;44000;Nantes;3536;4405;5;Malakoff - Saint-Donatien;3536;5b;Malakoff;3536;9;Nantes-Loire;[-1.53157045793655,47.2136248384006]
JEAN MOULIN M/E;Ecole élémentaire Jean Moulin;M/E;5 rue de Chypre;44000;Nantes;3536;4405;5;Malakoff - Saint-Donatien;3536;5b;Malakoff;3536;9;Nantes-Loire;[-1.52317061805969,47.215715375766]
BAUT M/E;Ecole élémentaire Le Baut;M/E;2 rue des Renards;44300;Nantes;3059;3177;8;Nantes Nord;3208;8;Nantes Nord;3143;6;Erdre et Cens;[-1.56252050980626,47.2540951627248]
CAMILLE CLAUDEL M;Ecole maternelle Camille Claudel;M;83 rue des Renards;44300;Nantes;3059;3177;8;Nantes Nord;3208;8;Nantes Nord;3143;6;Erdre et Cens;[-1.56882984204016,47.2585897850032]
CHAUVINIERE E;Ecole élémentaire La Chauvinière;E;32 boulevard de la Chauvinière;44300;Nantes;3155;3355;8;Nantes Nord;3208;8;Nantes Nord;3143;6;Erdre et Cens;[-1.57465044084182,47.2525932866658]
CHAUVINIERE M;Ecole maternelle La Chauvinière;M;32 boulevard de la Chauvinière;44300;Nantes;3155;3355;8;Nantes Nord;3208;8;Nantes Nord;3143;6;Erdre et Cens;[-1.57410949687271,47.2533017958995]
COTE D'OR M;Ecole maternelle La Côte d'Or;M;1  AVENUE CASTELLANO;44300;Nantes;3089;3388;8;Nantes Nord;3208;8;Nantes Nord;3143;6;Erdre et Cens;[-1.57259938808227,47.2472636471014]
FRANCOISE DOLTO M/E;Ecole primaire d'application Françoise Dolto;M/E;11 rue DE CONCARNEAU;44300;Nantes;3208;3333;8;Nantes Nord;3208;8;Nantes Nord;3143;6;Erdre et Cens;[-1.5795293798054,47.2652327148076]
GEORGE SAND E;Ecole élémentaire George Sand;E;83 rue des Renards;44300;Nantes;3059;3177;8;Nantes Nord;3208;8;Nantes Nord;3143;6;Erdre et Cens;[-1.56947021902801,47.2590172153832]
GEORGES BRASSENS M;Ecole maternelle Georges Brassens;M;19 rue Eugène Thomas;44300;Nantes;3135;2778;8;Nantes Nord;3208;8;Nantes Nord;3143;6;Erdre et Cens;[-1.57121018316344,47.2619983459438]
JONELIERE M/E;Ecole primaire La Jonelière;M/E;76 route de la Jonelière;44300;Nantes;3374;3798;8;Nantes Nord;3208;8;Nantes Nord;3143;6;Erdre et Cens;[-1.54634987884171,47.2523529788309]
PAUL GAUGUIN M/E;Ecole primaire Paul Gauguin;M/E;20 rue de la Coulée;44300;Nantes;3136;2778;8;Nantes Nord;3208;8;Nantes Nord;3143;6;Erdre et Cens;[-1.57574055087159,47.2598536639857]
JACQUES TATI M/E;Ecole primaire Jacques Tati;M/E;1  RUE D'ASCAIN;44200;Nantes;3270;3419;11;Nantes Sud;3055;11;Nantes Sud;3155;2;Loire, Sèvre et Vignoble;[-1.52669047271961,47.1948419310859]
LEDRU ROLLIN/SARAH BERNHARDT M/E;Ecole élémentaire Ledru-Rollin;M/E;47 rue Ledru-Rollin;44200;Nantes;3039;3638;11;Nantes Sud;3055;11;Nantes Sud;3155;2;Loire, Sèvre et Vignoble;[-1.53457044140847,47.1923682739596]
GARENNES E;Ecole élémentaire Les Garennes;E;7 place des Garennes;44100;Nantes;3870;4585;2;Bellevue - Chantenay - Sainte Anne;3120;2c;Saint Anne;3910;8;Nantes-Ouest;[-1.57895005724201,47.2016494775555]
JOSEPH BLANCHART M;Ecole maternelle Joseph Blanchart;M;94 rue Joseph Blanchart;44100;Nantes;3949;4593;2;Bellevue - Chantenay - Sainte Anne;3120;2c;Saint Anne;3910;8;Nantes-Ouest;[-1.57737008979653,47.2057817538695]
FRANCOIS DALLET/DOCTEUR TEILLAIS M/E;Ecole élémentaire François Dallet;M/E;150 boulevard des Poilus;44300;Nantes;3039;4056;5;Malakoff - Saint-Donatien;3536;5a;Saint Donatien;3397;4;Erdre et Loire;[-1.53352971867451,47.2338078142453]
GAY LUSSAC M/E;Ecole primaire Gay-Lussac;M/E;13 rue Corentin Bourveau;44300;Nantes;3019;3694;5;Malakoff - Saint-Donatien;3536;5a;Saint Donatien;3397;4;Erdre et Loire;[-1.52161038733813,47.2277821750848]
AGENETS M/E;Ecole élémentaire Agenêts;M/E;31 rue des Agenets;44000;Nantes;3031;4368;5;Malakoff - Saint-Donatien;3536;5a;Saint Donatien;3397;9;Nantes-Loire;[-1.53043977895119,47.2276390419726]
